Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191302,-0.15
191303,-0.58
191304,-0.07
191305,-0.62
191306,-0.44
191307,0.29
191308,0.06
191309,-0.33
191310,-0.06
191311,-0.03
191312,0.07
191401,0.10
191402,0.05
191403,-0.02
191404,-0.01
191405,-0.01
191406,0.05
191407,0.01
191408,-0.06
191409,-0.03
191410,0.20
191411,-0.04
191412,0.00
191501,-0.21
191502,0.27
191503,-0.05
191504,0.13
191505,-0.12
191506,-0.19
191507,0.17
191508,0.07
191509,-0.09
191510,-0.15
191511,-0.10
191512,-0.23
191601,-0.19
191602,-0.15
191603,-0.36
191604,-0.36
191605,-0.32
191606,-0.60
191607,-0.65
191608,-0.45
191609,-0.07
191610,-0.29
191611,-0.66
191612,-0.69
191701,-0.60
191702,-1.04
191703,-0.88
191704,-0.83
191705,-1.29
191706,-0.71
191707,-0.33
191708,-0.72
191709,-0.43
191710,-0.54
191711,-0.78
191712,-0.48
191801,-0.92
191802,-0.88
191803,-0.80
191804,-0.59
191805,-0.66
191806,-0.32
191807,-0.53
191808,-0.36
191809,-0.17
191810,-0.16
191811,0.03
191812,-0.11
191901,0.09
191902,-0.14
191903,-0.10
191904,0.32
191905,0.09
191906,0.08
191907,-0.17
191908,-0.45
191909,-0.52
191910,-0.19
191911,-0.16
191912,0.08
192001,-0.18
192002,-0.27
192003,-0.40
192004,-0.37
192005,-0.28
192006,-0.48
192007,-0.36
192008,-0.36
192009,-0.12
192010,-0.29
192011,0.01
192012,-0.41
192101,-0.44
192102,-0.28
192103,-0.54
192104,-0.34
192105,0.21
192106,-0.20
192107,-0.44
192108,-0.46
192109,-0.28
192110,-0.41
192111,-0.20
192112,-0.26
192201,-0.26
192202,-0.22
192203,-0.18
192204,0.05
192205,-0.39
192206,-0.45
192207,-0.32
192208,-0.42
192209,-0.11
192210,-0.37
192211,-0.05
192212,-0.30
192301,-0.36
192302,0.02
192303,0.06
192304,-0.19
192305,-0.40
192306,-0.24
192307,-0.63
192308,-0.50
192309,-0.39
192310,-0.35
192311,-0.14
192312,-0.20
192401,-0.27
192402,-0.46
192403,-0.24
192404,-0.72
192405,-0.33
192406,-0.28
192407,-0.19
192408,-0.61
192409,-0.43
192410,-0.55
192411,-0.60
192412,-0.54
192501,-0.73
192502,-0.40
192503,-0.34
192504,-0.20
192505,-0.47
192506,-0.51
192507,-0.69
192508,-0.19
192509,-0.61
192510,-0.41
192511,0.01
192512,0.25
192601,0.09
192602,0.47
192603,0.23
192604,0.08
192605,-0.58
192606,-0.09
192607,-0.31
192608,-0.13
192609,-0.01
192610,0.05
192611,-0.01
192612,-0.22
192701,-0.05
192702,-0.11
192703,-0.12
192704,-0.42
192705,-0.62
192706,-0.35
192707,-0.39
192708,-0.28
192709,-0.09
192710,0.04
192711,0.19
192712,-0.15
192801,-0.23
192802,-0.15
192803,-0.01
192804,0.23
192805,-0.45
192806,-0.33
192807,-0.25
192808,-0.24
192809,-0.03
192810,-0.03
192811,0.20
192812,-0.02
192901,0.00
192902,0.10
192903,-0.54
192904,-0.55
192905,-0.58
192906,-0.49
192907,-0.59
192908,-0.37
192909,-0.21
192910,-0.13
192911,0.07
192912,-0.46
193001,-0.33
193002,-0.16
193003,-0.26
193004,-0.28
193005,-0.30
193006,0.06
193007,-0.11
193008,-0.38
193009,-0.34
193010,-0.25
193011,-0.02
193012,-0.11
193101,-0.17
193102,0.18
193103,-0.01
193104,-0.27
193105,-0.32
193106,-0.38
193107,-0.21
193108,-0.19
193109,-0.38
193110,-0.22
193111,-0.65
193112,-0.04
193201,0.29
193202,-0.14
193203,-0.11
193204,0.05
193205,-0.31
193206,-0.31
193207,-0.10
193208,-0.36
193209,-0.16
193210,-0.17
193211,0.12
193212,-0.14
193301,-0.13
193302,-0.07
193303,0.04
193304,-0.09
193305,-0.05
193306,-0.24
193307,-0.53
193308,-0.34
193309,-0.32
193310,-0.01
193311,-0.45
193312,-0.51
193401,-0.24
193402,-0.43
193403,-0.18
193404,-0.40
193405,0.07
193406,0.14
193407,-0.04
193408,-0.04
193409,-0.20
193410,-0.50
193411,-0.47
193412,-0.33
193501,-0.17
193502,-0.29
193503,-0.08
193504,-0.56
193505,-0.20
193506,-0.34
193507,-0.23
193508,-0.48
193509,-0.35
193510,-0.11
193511,-0.02
193512,-0.03
193601,-0.15
193602,-0.14
193603,-0.16
193604,-0.24
193605,-0.04
193606,-0.26
193607,0.03
193608,-0.01
193609,-0.26
193610,0.03
193611,-0.10
193612,-0.15
193701,-0.32
193702,0.13
193703,-0.03
193704,-0.36
193705,-0.12
193706,-0.04
193707,-0.37
193708,0.08
193709,-0.24
193710,-0.05
193711,0.37
193712,-0.01
193801,-0.14
193802,-0.24
193803,0.10
193804,0.00
193805,0.24
193806,-0.03
193807,-0.05
193808,-0.41
193809,0.00
193810,0.14
193811,-0.01
193812,0.16
193901,0.14
193902,-0.23
193903,-0.33
193904,-0.44
193905,0.30
193906,0.13
193907,-0.23
193908,-0.08
193909,-0.53
193910,-0.24
193911,-0.45
193912,-0.21
194001,-0.03
194002,-0.14
194003,-0.02
194004,-0.14
194005,-0.06
194006,0.26
194007,0.23
194008,0.15
194009,0.11
194010,-0.02
194011,-0.23
194012,0.49
194101,-0.27
194102,-0.01
194103,-0.19
194104,0.52
194105,0.26
194106,0.16
194107,0.29
194108,0.22
194109,-0.25
194110,0.32
194111,0.18
194112,0.24
194201,0.41
194202,0.17
194203,0.09
194204,0.00
194205,0.03
194206,-0.09
194207,-0.34
194208,0.25
194209,0.20
194210,-0.29
194211,0.07
194212,-0.09
194301,-0.05
194302,-0.12
194303,0.03
194304,-0.26
194305,-0.21
194306,-0.37
194307,-0.04
194308,-0.76
194309,-0.21
194310,0.17
194311,-0.28
194312,-0.08
194401,0.08
194402,-0.14
194403,-0.17
194404,-0.29
194405,-0.41
194406,0.14
194407,0.21
194408,0.45
194409,0.57
194410,0.32
194411,0.25
194412,0.18
194501,0.06
194502,-0.05
194503,-0.05
194504,0.33
194505,-0.19
194506,-0.05
194507,-0.13
194508,0.61
194509,0.23
194510,0.07
194511,-0.01
194512,0.04
194601,-0.01
194602,0.06
194603,-0.31
194604,-0.27
194605,0.19
194606,-0.54
194607,-0.12
194608,-0.05
194609,0.13
194610,-0.17
194611,0.16
194612,0.01
194701,0.34
194702,0.20
194703,-0.09
194704,-0.08
194705,0.13
194706,0.37
194707,-0.31
194708,-0.17
194709,-0.34
194710,-0.29
194711,-0.05
194712,-0.35
194801,-0.23
194802,0.05
194803,-0.38
194804,-0.26
194805,-0.04
194806,0.01
194807,0.06
194808,-0.12
194809,-0.08
194810,-0.04
194811,-0.20
194812,0.13
194901,-0.02
194902,-0.48
194903,-0.18
194904,-0.33
194905,-0.21
194906,-0.23
194907,-0.06
194908,-0.02
194909,-0.15
194910,-0.34
194911,-0.16
194912,-0.03
195001,-0.20
195002,-0.15
195003,-0.20
195004,-0.10
195005,0.05
195006,-0.11
195007,-0.02
195008,-0.14
195009,-0.11
195010,-0.65
195011,-0.39
195012,-0.22
195101,-0.45
195102,-0.47
195103,0.08
195104,-0.53
195105,-0.09
195106,0.11
195107,0.02
195108,-0.25
195109,0.12
195110,0.07
195111,0.09
195112,-0.08
195201,0.38
195202,0.07
195203,0.33
195204,-0.12
195205,0.01
195206,-0.44
195207,-0.04
195208,0.00
195209,-0.12
195210,-0.05
195211,-0.34
195212,-0.03
195301,-0.02
195302,-0.15
195303,0.31
195304,0.24
195305,0.01
195306,-0.01
195307,-0.49
195308,0.03
195309,0.07
195310,-0.10
195311,0.04
195312,0.05
195401,-0.17
195402,-0.19
195403,0.03
195404,-0.13
195405,-0.32
195406,-0.43
195407,-0.37
195408,-0.06
195409,-0.12
195410,-0.06
195411,-0.06
195412,-0.08
195501,-0.07
195502,-0.07
195503,-0.40
195504,-0.34
195505,-0.49
195506,-0.03
195507,-0.59
195508,-0.12
195509,-0.11
195510,-0.43
195511,-0.28
195512,-0.43
195601,-0.60
195602,-0.18
195603,-0.18
195604,-0.48
195605,-0.67
195606,-0.58
195607,-0.10
195608,-0.53
195609,-0.48
195610,-0.40
195611,-0.53
195612,-0.39
195701,-0.13
195702,-0.26
195703,-0.02
195704,0.10
195705,0.37
195706,0.39
195707,-0.26
195708,0.10
195709,-0.02
195710,0.29
195711,0.30
195712,0.27
195801,0.20
195802,0.35
195803,0.32
195804,0.53
