South America Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
194306,-0.14
194307,0.07
194308,-1.01
194309,-0.17
194310,0.16
194311,-0.30
194312,-0.24
194401,-0.31
194402,0.02
194403,-0.28
194404,-0.30
194405,-0.13
194406,0.34
194407,0.36
194408,0.53
194409,0.67
194410,0.33
194411,-0.09
194412,0.25
194501,0.16
194502,-0.20
194503,0.06
194504,0.26
194505,-0.27
194506,-0.21
194507,0.00
194508,0.79
194509,0.27
194510,0.27
194511,0.01
194512,-0.20
194601,-0.28
194602,0.19
194603,-0.26
194604,-0.06
194605,0.00
194606,-0.32
194607,-0.26
194608,0.16
194609,0.32
194610,-0.02
194611,0.27
194612,-0.22
194701,0.07
194702,0.08
194703,-0.03
194704,-0.03
194705,0.03
194706,0.47
194707,-0.51
194708,-0.53
194709,-0.25
194710,-0.25
194711,-0.07
194712,-0.23
194801,0.04
194802,-0.10
194803,-0.38
194804,-0.19
194805,0.03
194806,0.32
194807,0.20
194808,-0.33
194809,0.25
194810,-0.11
194811,-0.06
194812,0.12
194901,-0.16
194902,-0.19
194903,0.02
194904,-0.08
194905,-0.15
194906,0.07
194907,-0.36
194908,-0.29
194909,-0.32
194910,-0.77
194911,-0.11
194912,-0.20
195001,-0.34
195002,-0.16
195003,-0.42
195004,-0.22
195005,0.02
195006,-0.08
195007,-0.18
195008,-0.06
195009,-0.33
195010,-0.64
195011,-0.45
195012,-0.19
195101,-0.35
195102,-0.69
195103,-0.29
195104,-0.82
195105,0.28
195106,0.36
195107,0.44
195108,0.12
195109,0.21
195110,0.19
195111,0.09
195112,-0.18
195201,0.38
195202,0.15
195203,0.49
195204,-0.18
195205,0.20
195206,-1.01
195207,0.10
195208,0.03
195209,-0.19
195210,-0.06
195211,-0.21
195212,-0.01
195301,0.11
195302,0.33
195303,0.25
195304,-0.03
195305,0.15
195306,0.15
195307,-0.74
195308,0.74
195309,0.85
195310,-0.16
195311,0.20
195312,0.00
195401,-0.08
195402,0.06
195403,0.06
195404,-0.24
195405,-0.61
195406,-0.22
195407,-0.56
195408,-0.09
195409,-0.18
195410,-0.36
195411,0.11
195412,-0.07
195501,0.03
195502,-0.08
195503,-0.55
195504,-0.41
195505,-0.55
195506,-0.10
195507,-1.13
195508,-0.42
195509,-0.24
195510,-0.63
195511,0.01
195512,-0.28
195601,-0.71
195602,-0.33
195603,-0.18
195604,-0.75
195605,-1.13
195606,-0.75
195607,-0.19
195608,-0.61
195609,-0.21
195610,-0.37
195611,-0.50
195612,-0.30
195701,-0.27
195702,-0.40
195703,0.20
195704,-0.44
195705,0.72
195706,0.14
195707,-0.27
195708,0.17
195709,-0.14
195710,0.37
195711,-0.01
195712,0.34
195801,0.30
195802,0.49
195803,0.36
195804,0.27
195805,0.05
195806,0.65
195807,1.12
195808,-0.40
195809,0.23
195810,0.25
195811,0.02
195812,-0.16
195901,-0.14
195902,0.30
195903,0.01
195904,-0.02
195905,-0.08
195906,0.06
195907,0.58
195908,-0.20
195909,0.21
195910,0.13
195911,-0.11
195912,0.10
196001,0.18
196002,0.16
196003,-0.06
196004,-0.08
196005,-0.50
196006,0.01
196007,-0.18
196008,-0.03
196009,0.05
196010,0.12
196011,0.04
196012,0.19
196101,0.15
196102,0.00
196103,0.05
196104,0.10
196105,0.50
196106,-0.22
196107,0.04
196108,0.76
196109,0.36
196110,0.35
196111,0.27
196112,-0.06
196201,-0.16
196202,0.02
196203,0.31
196204,-0.13
196205,-0.35
196206,-0.42
196207,-0.91
196208,0.00
196209,0.39
196210,-0.22
196211,0.54
196212,0.17
196301,0.09
196302,-0.03
196303,0.03
196304,0.30
196305,-0.05
196306,0.01
196307,0.51
196308,0.52
196309,0.32
196310,0.51
196311,-0.08
196312,0.10
196401,0.25
196402,0.32
196403,-0.08
196404,0.22
196405,0.15
196406,-0.58
196407,-0.47
196408,0.02
196409,-0.09
196410,-0.54
196411,-0.45
196412,-0.43
196501,-0.15
196502,0.22
196503,-0.36
196504,-0.09
196505,-0.09
196506,1.06
196507,0.12
196508,0.35
196509,0.04
196510,0.36
196511,0.14
196512,-0.02
196601,0.34
196602,-0.15
196603,0.11
196604,0.20
196605,0.27
196606,0.49
196607,0.23
196608,-0.38
196609,-0.27
196610,0.07
196611,0.17
196612,-0.11
196701,-0.03
196702,0.01
196703,-0.25
196704,0.31
196705,1.00
196706,-0.74
196707,-0.02
196708,0.19
196709,0.25
196710,0.35
196711,-0.05
196712,0.19
196801,-0.12
196802,-0.10
196803,-0.29
196804,-0.74
196805,-0.70
196806,-0.09
196807,0.49
196808,0.26
196809,-0.14
196810,0.10
196811,0.66
196812,0.08
196901,0.23
196902,0.51
196903,0.56
196904,0.54
196905,0.87
196906,0.51
196907,0.60
196908,-0.02
196909,0.79
196910,0.03
196911,0.49
196912,0.31
197001,0.18
197002,0.40
197003,0.29
197004,0.81
197005,0.41
197006,0.34
197007,0.05
197008,-0.06
197009,0.35
197010,0.13
197011,-0.24
197012,0.14
197101,-0.31
197102,-0.40
197103,-0.06
197104,-0.53
197105,-0.44
197106,-0.65
197107,0.40
197108,-0.03
197109,0.34
197110,-0.45
197111,0.00
197112,0.03
197201,-0.01
197202,-0.04
197203,-0.12
197204,-0.24
197205,0.59
197206,0.90
197207,0.40
197208,0.00
197209,0.34
197210,0.11
197211,0.25
197212,0.35
197301,0.74
197302,0.71
197303,0.70
197304,0.68
197305,0.07
197306,0.70
197307,-0.18
197308,-0.27
197309,-0.17
197310,0.06
197311,-0.22
197312,-0.26
197401,-0.19
197402,-0.42
197403,-0.20
197404,-0.03
197405,0.10
197406,-0.14
197407,0.12
197408,-0.09
197409,-0.35
197410,-0.25
197411,-0.08
197412,-0.44
197501,-0.12
197502,0.02
197503,0.07
197504,0.14
197505,-0.07
197506,0.51
197507,-0.57
197508,-0.14
197509,0.07
197510,-0.05
197511,-0.31
197512,-0.03
197601,-0.18
197602,-0.30
197603,-0.61
197604,-0.34
197605,-0.04
197606,-0.17
197607,0.23
197608,0.11
197609,-0.20
197610,0.02
197611,0.07
197612,0.15
197701,0.27
197702,0.16
197703,0.49
197704,0.30
197705,-0.12
197706,0.57
197707,0.95
197708,0.35
197709,0.59
197710,0.50
197711,0.29
197712,0.21
197801,0.11
197802,0.43
197803,0.33
197804,0.08
197805,0.15
197806,0.09
197807,1.11
197808,-0.46
197809,0.18
197810,0.41
197811,0.31
197812,0.10
197901,0.22
197902,0.32
197903,0.00
197904,-0.13
197905,0.19
197906,-0.09
197907,0.50
197908,1.08
197909,-0.25
197910,0.49
197911,0.03
197912,0.21
198001,0.38
198002,0.32
198003,0.93
198004,0.60
198005,0.80
198006,0.34
198007,0.37
198008,0.55
198009,0.01
198010,0.34
198011,-0.02
198012,0.28
198101,0.05
198102,0.35
198103,0.42
198104,0.35
198105,0.95
198106,-0.07
198107,-0.07
198108,0.58
198109,-0.12
198110,0.09
198111,0.31
198112,0.24
198201,0.08
198202,0.04
198203,0.21
198204,0.24
198205,0.37
198206,0.43
198207,0.67
198208,0.66
198209,0.58
198210,0.32
198211,0.37
198212,0.49
198301,1.01
198302,0.76
198303,0.78
198304,0.87
198305,0.91
198306,0.04
198307,0.52
198308,0.29
198309,0.03
198310,0.38
198311,0.35
198312,0.57
198401,0.29
198402,0.42
198403,0.38
198404,-0.08
198405,0.52
198406,-0.21
198407,0.27
198408,-0.32
198409,0.05
198410,0.66
198411,0.04
198412,-0.20
198501,0.00
198502,0.16
198503,0.49
198504,0.15
198505,0.53
198506,0.20
198507,0.15
198508,0.09
198509,0.15
198510,0.41
198511,0.43
198512,0.30
198601,0.33
198602,0.18
198603,-0.05
198604,0.73
198605,0.72
198606,0.61
198607,0.42
198608,0.62
198609,0.04
198610,0.16
198611,0.36
198612,0.48
