year,month,temperature
1933,06,-0.58
1933,07,-1.01
1933,08,-0.14
1933,09,-0.27
1933,10,-0.23
1933,11,-0.48
1933,12,-0.4
1934,01,-0.35
1934,02,-0.77
1934,03,-0.36
1934,04,-0.75
1934,05,-0.39
1934,06,0.0
1934,07,-0.33
1934,08,-0.27
1934,09,-0.35
1934,10,-0.76
1934,11,-0.48
1934,12,-0.53
1935,01,-0.33
1935,02,-0.23
1935,03,0.09
1935,04,-0.49
1935,05,0.08
1935,06,0.08
1935,07,-0.25
1935,08,-0.38
1935,09,-0.58
1935,10,-0.6
1935,11,-0.15
1935,12,-0.07
1936,01,-0.24
1936,02,-0.34
1936,03,0.03
1936,04,0.04
1936,05,0.25
1936,06,-0.1
1936,07,-0.1
1936,08,-0.63
1936,09,-0.11
1936,10,-0.02
1936,11,-0.3
1936,12,-0.21
1937,01,-0.27
1937,02,0.23
1937,03,-0.02
1937,04,-0.32
1937,05,-0.4
1937,06,0.33
1937,07,-0.08
1937,08,0.13
1937,09,-0.3
1937,10,-0.44
1937,11,-0.05
1937,12,-0.1
1938,01,-0.36
1938,02,-0.12
1938,03,-0.39
1938,04,-0.72
1938,05,-0.28
1938,06,-0.19
1938,07,-0.1
1938,08,-0.62
1938,09,-0.03
1938,10,-0.27
1938,11,-0.2
1938,12,-0.08
1939,01,0.15
1939,02,-0.28
1939,03,-0.3
1939,04,-0.54
1939,05,0.22
1939,06,0.45
1939,07,0.1
1939,08,0.51
1939,09,-0.17
1939,10,0.06
1939,11,-0.33
1939,12,-0.33
1940,01,-0.08
1940,02,-0.04
1940,03,-0.16
1940,04,0.13
1940,05,0.45
1940,06,0.47
1940,07,0.66
1940,08,-0.21
1940,09,0.03
1940,10,-0.38
1940,11,-0.26
1940,12,0.25
1941,01,0.18
1941,02,-0.04
1941,03,-0.12
1941,04,0.42
1941,05,0.16
1941,06,0.09
1941,07,0.32
1941,08,0.42
1941,09,-0.65
1941,10,0.46
1941,11,-0.05
1941,12,0.17
1942,01,0.46
1942,02,0.27
1942,03,-0.1
1942,04,-0.16
1942,05,-0.39
1942,06,-0.89
1942,07,-0.85
1942,08,-0.09
1942,09,0.05
1942,10,-0.18
1942,11,0.18
1942,12,-0.08
1943,01,0.03
1943,02,0.19
1943,03,-0.37
1943,04,-0.51
1943,05,-0.1
1943,06,-0.14
1943,07,0.07
1943,08,-1.01
1943,09,-0.17
1943,10,0.16
1943,11,-0.3
1943,12,-0.24
1944,01,-0.31
1944,02,0.02
1944,03,-0.28
1944,04,-0.3
1944,05,-0.13
1944,06,0.34
1944,07,0.36
1944,08,0.53
1944,09,0.67
1944,10,0.33
1944,11,-0.09
1944,12,0.25
1945,01,0.16
