year,month,temperature
1934,03,0.84
1934,04,0.92
1934,05,1.04
1934,06,0.0
1934,07,0.55
1934,08,0.01
1934,09,1.18
1934,10,0.84
1934,11,0.74
1934,12,1.52
1935,01,-1.0
1935,02,0.54
1935,03,-0.56
1935,04,-0.19
1935,05,-1.25
1935,06,0.75
1935,07,-0.21
1935,08,-0.16
1935,09,0.23
1935,10,0.87
1935,11,0.17
1935,12,0.86
1936,01,2.54
1936,02,-0.23
1936,03,1.04
1936,04,-0.11
1936,05,0.17
1936,06,0.28
1936,07,0.8
1936,08,-0.07
1936,09,-0.45
1936,10,-1.6
1936,11,0.34
1936,12,0.77
1937,01,-0.51
1937,02,0.66
1937,03,0.4
1937,04,0.48
1937,05,1.32
1937,06,0.73
1937,07,0.63
1937,08,0.88
1937,09,0.95
1937,10,0.63
1937,11,0.52
1937,12,-0.34
1938,01,0.52
1938,02,0.91
1938,03,1.65
1938,04,-0.95
1938,05,-0.92
1938,06,0.39
1938,07,0.71
1938,08,0.95
1938,09,0.45
1938,10,0.97
1938,11,1.91
1938,12,-0.4
1939,01,1.59
1939,02,1.79
1939,03,-0.88
1939,04,0.42
1939,05,-0.71
1939,06,0.14
1939,07,0.15
1939,08,0.7
1939,09,-0.11
1939,10,-0.78
1939,11,0.46
1939,12,-0.89
1940,01,-3.82
1940,02,-2.47
1940,03,-1.83
1940,04,-0.49
1940,05,-0.49
1940,06,-0.02
1940,07,-0.43
1940,08,-1.0
1940,09,-0.43
1940,10,-0.52
1940,11,0.94
1940,12,-1.96
1941,01,-2.49
1941,02,0.12
1941,03,-0.66
1941,04,-1.07
1941,05,-1.78
1941,06,-0.6
1941,07,0.33
1941,08,-0.83
1941,09,-1.24
1941,10,-1.18
1941,11,-1.75
1941,12,-1.62
1942,01,-4.84
1942,02,-2.87
1942,03,-2.37
1942,04,-0.65
1942,05,-0.26
1942,06,-0.2
1942,07,-0.46
1942,08,0.24
1942,09,0.64
1942,10,0.58
1942,11,-0.84
1942,12,0.28
1943,01,-1.0
1943,02,1.3
1943,03,0.61
1943,04,0.8
1943,05,-0.12
1943,06,-0.11
1943,07,-0.27
1943,08,0.53
1943,09,0.54
1943,10,1.14
1943,11,0.34
1943,12,0.68
1944,01,1.32
1944,02,0.18
1944,03,-0.72
1944,04,-0.17
1944,05,-0.76
1944,06,-0.5
1944,07,0.01
1944,08,0.74
1944,09,0.09
1944,10,0.51
1944,11,0.13
1944,12,-0.06
1945,01,-1.81
1945,02,0.8
1945,03,0.23
1945,04,0.51
1945,05,0.5
1945,06,0.43
1945,07,0.68
1945,08,0.3
1945,09,0.21
1945,10,-0.3
1945,11,-0.15
1945,12,-0.56
1946,01,-0.42
1946,02,0.38
1946,03,-0.02
1946,04,1.0
1946,05,0.56
1946,06,0.39
1946,07,0.72
1946,08,0.67
1946,09,1.12
1946,10,-1.37
1946,11,0.06
1946,12,-0.81
1947,01,-2.15
1947,02,-3.0
1947,03,-0.2
1947,04,0.92
1947,05,0.74
1947,06,1.24
1947,07,0.98
1947,08,0.64
1947,09,1.1
1947,10,-0.66
1947,11,0.52
1947,12,0.65
1948,01,1.88
1948,02,0.25
1948,03,0.63
1948,04,0.96
1948,05,0.66
1948,06,0.02
1948,07,-0.67
1948,08,-0.12
1948,09,-0.01
1948,10,-0.04
1948,11,-0.14
1948,12,-0.39
1949,01,1.32
1949,02,0.89
1949,03,-1.04
1949,04,0.55
1949,05,0.47
1949,06,-0.58
1949,07,-0.09
1949,08,-0.43
1949,09,1.11
1949,10,0.65
1949,11,1.24
1949,12,1.43
1950,01,-2.26
1950,02,0.87
