year,month,temperature
1934,03,-0.34
1934,04,0.91
1934,05,1.02
1934,06,0.2
1934,07,0.3
1934,08,-0.27
1934,09,-0.77
1934,10,0.78
1934,11,1.14
1934,12,0.06
1935,01,-1.21
1935,02,2.0
1935,03,-0.45
1935,04,-0.81
1935,05,-1.0
1935,06,-0.43
1935,07,0.63
1935,08,-0.14
1935,09,-0.19
1935,10,-0.49
1935,11,-1.68
1935,12,-0.28
1936,01,-1.75
1936,02,-5.16
1936,03,0.66
1936,04,-0.99
1936,05,0.74
1936,06,0.55
1936,07,1.12
1936,08,0.66
1936,09,0.13
1936,10,-0.77
1936,11,-0.32
1936,12,-0.34
1937,01,-1.42
1937,02,-0.68
1937,03,-0.43
1937,04,0.14
1937,05,0.68
1937,06,0.64
1937,07,0.35
1937,08,0.53
1937,09,0.48
1937,10,0.29
1937,11,0.1
1937,12,-0.57
1938,01,0.68
1938,02,-0.31
1938,03,1.55
1938,04,0.01
1938,05,0.13
1938,06,0.19
1938,07,0.16
1938,08,0.25
1938,09,1.35
1938,10,1.6
1938,11,-0.32
1938,12,1.32
1939,01,1.52
1939,02,-2.84
1939,03,-1.12
1939,04,0.4
1939,05,0.75
1939,06,-0.16
1939,07,0.45
1939,08,0.25
1939,09,0.31
1939,10,-0.74
1939,11,0.69
1939,12,3.43
1940,01,-0.05
1940,02,0.71
1940,03,0.39
1940,04,0.5
1940,05,0.41
1940,06,-0.29
1940,07,0.17
1940,08,0.06
1940,09,1.01
1940,10,1.0
1940,11,-1.14
1940,12,1.33
1941,01,0.86
1941,02,1.33
1941,03,0.03
1941,04,1.07
1941,05,0.78
1941,06,0.3
1941,07,0.54
1941,08,0.05
1941,09,-0.4
1941,10,0.3
1941,11,0.33
1941,12,1.13
1942,01,2.19
1942,02,0.45
1942,03,1.17
1942,04,0.8
1942,05,0.3
1942,06,0.08
1942,07,-0.01
1942,08,0.0
1942,09,-0.22
1942,10,0.83
1942,11,-0.37
1942,12,-1.44
1943,01,-1.21
1943,02,1.52
1943,03,-1.81
1943,04,0.59
1943,05,-0.39
1943,06,-0.07
1943,07,0.29
1943,08,0.37
1943,09,-0.04
1943,10,0.75
1943,11,1.21
1943,12,1.16
1944,01,2.86
1944,02,0.59
1944,03,-1.12
1944,04,0.21
1944,05,0.85
1944,06,0.1
1944,07,-0.06
1944,08,0.14
1944,09,0.39
1944,10,0.98
1944,11,0.4
1944,12,0.59
1945,01,1.27
1945,02,1.2
1945,03,2.12
1945,04,-1.26
1945,05,-1.0
1945,06,-0.88
1945,07,-0.32
1945,08,0.16
1945,09,-0.34
1945,10,0.26
1945,11,-1.12
1945,12,-1.2
1946,01,0.72
1946,02,-0.8
1946,03,2.37
1946,04,1.18
1946,05,-0.3
1946,06,-0.18
1946,07,-0.1
1946,08,-0.21
1946,09,0.1
1946,10,-0.03
1946,11,-0.61
1946,12,-0.47
1947,01,0.02
1947,02,-0.71
1947,03,0.09
1947,04,-0.93
1947,05,-0.61
1947,06,-0.75
1947,07,0.13
1947,08,0.08
1947,09,0.11
1947,10,1.98
1947,11,-0.04
1947,12,1.04
1948,01,0.6
1948,02,-1.78
1948,03,-1.92
1948,04,-0.67
1948,05,0.23
1948,06,0.36
1948,07,0.08
1948,08,0.18
1948,09,0.66
1948,10,0.29
1948,11,0.48
1948,12,-0.71
1949,01,-0.64
1949,02,-2.36
1949,03,0.57
1949,04,0.49
1949,05,-0.12
1949,06,-0.24
1949,07,-0.12
1949,08,0.3
1949,09,0.02
1949,10,-0.09
1949,11,2.1
1949,12,-0.52
1950,01,-2.04
1950,02,-0.82
1950,03,-0.71
1950,04,-1.3
1950,05,-0.32
1950,06,-0.3
1950,07,-0.77
1950,08,-0.94
1950,09,-0.05
1950,10,0.45
1950,11,-1.07
1950,12,0.4
1951,01,-0.76
1951,02,-0.18
1951,03,-1.8
1951,04,-0.15
1951,05,0.53
1951,06,-0.74
1951,07,-0.02
1951,08,0.06
1951,09,-0.07
1951,10,-0.61
1951,11,-0.84
1951,12,-1.26
1952,01,-0.49
1952,02,0.88
1952,03,-0.72
1952,04,1.0
1952,05,0.36
1952,06,0.46
1952,07,0.03
1952,08,0.07
1952,09,0.32
1952,10,-0.01
1952,11,1.17
1952,12,1.94
1953,01,0.79
1953,02,1.84
1953,03,1.03
1953,04,0.08
1953,05,-0.06
1953,06,0.39
1953,07,0.17
1953,08,0.38
1953,09,0.37
1953,10,0.96
1953,11,1.73
1953,12,0.9
1954,01,-1.57
1954,02,2.86
1954,03,-0.15
1954,04,-1.02
1954,05,-0.55
1954,06,0.14
1954,07,0.32
1954,08,0.29
1954,09,0.39
1954,10,0.5
1954,11,1.93
1954,12,0.97
1955,01,1.08
1955,02,-1.43
1955,03,-1.64
1955,04,0.7
1955,05,0.28
1955,06,0.0
1955,07,0.42
1955,08,0.49
1955,09,0.02
1955,10,0.52
1955,11,-2.31
1955,12,-1.41
1956,01,0.32
1956,02,-1.17
1956,03,-0.63
1956,04,-0.74
1956,05,-0.26
1956,06,0.26
1956,07,-0.24
1956,08,-0.2
1956,09,-0.48
1956,10,0.0
1956,11,-0.08
1956,12,-0.43
1957,01,-0.97
1957,02,0.66
1957,03,0.84
1957,04,0.02
1957,05,-0.35
1957,06,-0.12
1957,07,0.12
1957,08,0.12
1957,09,0.3
1957,10,-0.39
1957,11,0.34
1957,12,1.02
1958,01,2.47
1958,02,-0.68
1958,03,0.52
1958,04,0.28
1958,05,0.75
1958,06,-0.21
1958,07,-0.07
1958,08,0.49
1958,09,0.23
1958,10,0.15
1958,11,0.28
1958,12,-0.49
1959,01,-0.88
1959,02,-0.31
1959,03,-0.25
1959,04,-0.24
1959,05,-0.32
1959,06,0.17
1959,07,-0.06
1959,08,-0.15
1959,09,-0.03
1959,10,-0.93
1959,11,-1.23
1959,12,2.28
1960,01,0.39
1960,02,0.33
1960,03,-2.24
1960,04,0.06
1960,05,0.23
1960,06,0.22
1960,07,0.17
1960,08,0.21
1960,09,0.43
1960,10,0.5
1960,11,0.21
1960,12,0.56
1961,01,0.61
1961,02,1.0
1961,03,0.11
1961,04,-1.01
1961,05,-0.31
1961,06,0.63
1961,07,0.08
1961,08,0.47
1961,09,-0.57
1961,10,-0.53
1961,11,-0.34
1961,12,-1.56
1962,01,-0.71
1962,02,-0.63
1962,03,-0.68
1962,04,-0.11
1962,05,-0.03
1962,06,-0.02
1962,07,-0.45
1962,08,0.18
1962,09,-0.19
1962,10,1.17
1962,11,0.92
1962,12,0.83
1963,01,-1.25
1963,02,0.14
1963,03,0.14
1963,04,0.72
1963,05,-0.03
1963,06,-0.03
1963,07,0.17
1963,08,0.17
1963,09,0.45
1963,10,2.16
1963,11,0.24
1963,12,-0.61
1964,01,1.04
1964,02,0.75
1964,03,-2.63
1964,04,-0.39
1964,05,0.08
1964,06,-0.34
1964,07,0.25
1964,08,-0.65
1964,09,-0.62
1964,10,0.14
1964,11,0.11
1964,12,-2.04
1965,01,-0.1
1965,02,-2.11
1965,03,-1.35
1965,04,0.38
1965,05,-0.09
1965,06,-0.75
1965,07,-0.51
1965,08,-0.46
1965,09,-1.44
1965,10,-0.08
1965,11,0.33
1965,12,1.15
1966,01,-2.72
1966,02,-0.52
1966,03,0.56
1966,04,-0.92
1966,05,-0.39
1966,06,-0.05
1966,07,0.43
1966,08,-0.35
1966,09,0.47
1966,10,-0.57
1966,11,-0.86
1966,12,-0.01
1967,01,0.65
1967,02,-1.24
1967,03,-0.48
1967,04,-0.81
1967,05,-1.09
1967,06,-0.24
1967,07,-0.41
1967,08,-0.1
1967,09,0.38
1967,10,-0.13
1967,11,0.38
1967,12,0.62
1968,01,-0.61
1968,02,-0.01
1968,03,1.61
1968,04,-0.17
1968,05,-0.6
1968,06,-0.27
1968,07,-0.47
1968,08,-0.88
1968,09,0.05
1968,10,0.5
1968,11,0.35
1968,12,-1.42
1969,01,-1.74
1969,02,0.32
1969,03,-1.32
1969,04,0.85
1969,05,0.05
1969,06,-0.77
1969,07,-0.19
1969,08,0.2
1969,09,-0.04
1969,10,-0.73
1969,11,0.31
1969,12,2.21
1970,01,-1.19
1970,02,0.74
1970,03,-0.47
1970,04,-0.54
1970,05,-0.27
1970,06,0.19
1970,07,0.07
1970,08,0.41
1970,09,-0.44
1970,10,-0.61
1970,11,-0.07
1970,12,-1.06
1971,01,-1.59
1971,02,0.17
1971,03,-0.79
1971,04,-0.24
1971,05,-0.29
1971,06,0.38
1971,07,-0.5
1971,08,0.03
1971,09,-0.06
1971,10,0.42
1971,11,-0.23
1971,12,-0.87
1972,01,-1.55
1972,02,-2.03
1972,03,-0.14
1972,04,-1.04
1972,05,0.07
1972,06,-0.29
1972,07,-0.87
1972,08,-0.12
1972,09,-1.11
