year,month,temperature
1933,12,-0.19
1934,01,-0.88
1934,02,1.74
1934,03,-0.99
1934,04,-1.6
1934,05,0.1
1934,06,-0.32
1934,07,-0.52
1934,08,-0.14
1934,09,-0.82
1934,10,-0.22
1934,11,0.28
1934,12,0.3
1935,01,-0.77
1935,02,2.25
1935,03,0.42
1935,04,-1.03
1935,05,-0.31
1935,06,-0.29
1935,07,-0.19
1935,08,0.23
1935,09,0.02
1935,10,0.56
1935,11,-1.48
1935,12,-1.37
1936,01,-1.23
1936,02,-0.51
1936,03,-1.51
1936,04,-0.67
1936,05,-0.34
1936,06,-0.21
1936,07,-0.04
1936,08,-0.25
1936,09,0.22
1936,10,0.76
1936,11,0.49
1936,12,0.98
1937,01,-0.43
1937,02,0.45
1937,03,-1.69
1937,04,-0.91
1937,05,-0.25
1937,06,0.02
1937,07,-0.08
1937,08,-0.06
1937,09,0.4
1937,10,0.51
1937,11,-0.32
1937,12,-0.78
1938,01,-0.1
1938,02,0.54
1938,03,0.48
1938,04,1.54
1938,05,0.41
1938,06,-0.5
1938,07,0.07
1938,08,0.35
1938,09,0.12
1938,10,0.02
1938,11,0.88
1938,12,-1.74
1939,01,-0.57
1939,02,1.36
1939,03,-0.05
1939,04,-0.21
1939,05,0.08
1939,06,0.37
1939,07,0.07
1939,08,0.14
1939,09,-0.09
1939,10,-0.35
1939,11,0.22
1939,12,1.95
1940,01,-1.6
1940,02,0.07
1940,03,0.09
1940,04,0.46
1940,05,-0.47
1940,06,0.05
1940,07,0.17
1940,08,0.0
1940,09,0.02
1940,10,-0.44
1940,11,0.5
1940,12,0.53
1941,01,-0.28
1941,02,-0.21
1941,03,-0.23
1941,04,-0.59
1941,05,-0.08
1941,06,0.24
1941,07,-0.16
1941,08,0.11
1941,09,-0.09
1941,10,0.41
1941,11,-0.62
1941,12,-0.85
1942,01,0.02
1942,02,-1.44
1942,03,-0.48
1942,04,-0.6
1942,05,-0.39
1942,06,0.23
1942,07,0.0
1942,08,-0.32
1942,09,-0.07
