year,month,temperature
1934,01,0.1
1934,02,-0.01
1934,03,0.16
1934,04,-0.56
1934,05,0.28
1934,06,-0.27
1934,07,-0.13
1934,08,-0.42
1934,09,0.06
1934,10,-0.59
1934,11,-0.72
1934,12,-0.18
1935,01,-0.16
1935,02,0.03
1935,03,-0.18
1935,04,-0.86
1935,05,-0.78
1935,06,-0.95
1935,07,-0.42
1935,08,0.03
1935,09,-0.32
1935,10,-0.05
1935,11,0.42
1935,12,0.13
1936,01,0.33
1936,02,0.29
1936,03,-0.25
1936,04,-0.74
1936,05,-0.28
1936,06,-0.96
1936,07,0.26
1936,08,1.04
1936,09,-0.23
1936,10,0.27
1936,11,0.17
1936,12,0.0
1937,01,-0.88
1937,02,0.01
1937,03,-0.15
1937,04,-0.91
1937,05,0.12
1937,06,-0.69
1937,07,-0.74
1937,08,-0.14
1937,09,-0.19
1937,10,0.52
1937,11,0.74
1937,12,0.32
1938,01,-0.2
1938,02,-0.56
1938,03,0.73
1938,04,0.59
1938,05,1.05
1938,06,0.11
1938,07,-0.2
1938,08,-0.34
1938,09,0.16
1938,10,0.72
1938,11,0.89
1938,12,1.0
1939,01,0.66
1939,02,-0.26
1939,03,-0.39
1939,04,-0.02
1939,05,0.61
1939,06,-0.24
1939,07,-0.89
1939,08,-0.98
1939,09,-0.84
1939,10,-0.85
1939,11,-0.85
1939,12,-0.33
1940,01,-0.13
1940,02,-0.76
1940,03,0.45
1940,04,-0.67
1940,05,-1.1
1940,06,0.08
1940,07,-0.24
1940,08,0.09
1940,09,0.02
1940,10,0.83
1940,11,-0.48
1940,12,0.55
1941,01,-1.36
1941,02,-0.25
1941,03,-0.9
1941,04,0.43
1941,05,-0.04
1941,06,-0.19
1941,07,0.16
1941,08,-0.53
1941,09,-0.05
1941,10,-0.56
1941,11,0.21
1941,12,0.28
1942,01,0.12
1942,02,-0.71
1942,03,0.21
1942,04,0.11
1942,05,0.97
1942,06,0.71
1942,07,0.18
1942,08,0.74
1942,09,0.47
1942,10,-0.23
1942,11,-0.3
1942,12,-0.31
1943,01,-0.19
1943,02,-0.57
1943,03,0.6
1943,04,-0.25
1943,05,-0.85
1943,06,-1.16
1943,07,-0.42
1943,08,-0.88
1943,09,-0.24
1943,10,0.02
1943,11,-0.72
1943,12,-0.08
1944,01,0.45
1944,02,-0.77
1944,03,-0.35
