year,month,temperature
1934,01,-0.83
1934,02,-0.96
1934,03,-0.6
1934,04,0.09
1934,05,-0.01
1934,06,0.26
1934,07,0.26
1934,08,0.42
1934,09,-0.03
1934,10,0.11
1934,11,0.18
1934,12,0.02
1935,01,-0.1
1935,02,-0.59
1935,03,0.01
1935,04,-0.41
1935,05,-0.25
1935,06,-0.19
1935,07,-0.19
1935,08,-0.56
1935,09,-0.02
1935,10,0.02
1935,11,-0.2
1935,12,0.31
1936,01,-0.04
1936,02,0.44
1936,03,0.29
1936,04,-0.06
1936,05,-0.31
1936,06,-0.24
1936,07,-0.07
1936,08,-0.18
1936,09,-0.67
1936,10,-0.11
1936,11,0.16
1936,12,-0.31
1937,01,-0.51
1937,02,0.11
1937,03,0.18
1937,04,-0.09
1937,05,-0.07
1937,06,0.16
1937,07,-0.24
1937,08,-0.03
1937,09,0.19
1937,10,0.15
1937,11,0.63
1937,12,0.1
1938,01,0.11
1938,02,0.0
1938,03,-0.75
1938,04,0.32
1938,05,0.07
1938,06,-0.07
1938,07,-0.13
1938,08,-0.13
1938,09,-0.15
1938,10,0.01
1938,11,-0.25
1938,12,0.1
1939,01,0.1
1939,02,-0.23
1939,03,-0.48
1939,04,-0.62
1939,05,-0.16
1939,06,-0.32
1939,07,0.02
1939,08,-0.2
1939,09,-0.25
1939,10,0.25
1939,11,-0.29
1939,12,0.65
1940,01,0.45
1940,02,0.25
1940,03,-0.22
1940,04,0.01
1940,05,0.2
1940,06,0.02
1940,07,-0.09
1940,08,0.19
1940,09,0.26
1940,10,0.17
1940,11,-0.04
1940,12,0.27
1941,01,0.59
1941,02,0.53
1941,03,0.57
1941,04,0.64
1941,05,0.3
1941,06,0.23
1941,07,0.3
1941,08,0.48
1941,09,0.1
1941,10,0.41
1941,11,0.28
1941,12,0.17
1942,01,0.15
1942,02,0.73
1942,03,0.44
1942,04,0.42
1942,05,0.0
1942,06,0.43
1942,07,-0.08
1942,08,-0.17
1942,09,0.1
1942,10,-0.05
1942,11,0.4
1942,12,0.08
1943,01,-0.13
1943,02,-0.69
1943,03,-0.5
1943,04,-0.41
1943,05,-0.35
1943,06,-0.45
1943,07,-0.26
1943,08,-0.43
1943,09,-0.46
1943,10,0.18
1943,11,-0.01
1943,12,0.37
1944,01,-0.38
1944,02,-0.33
1944,03,-0.27
1944,04,-0.04
1944,05,-0.25
1944,06,0.26
1944,07,0.13
1944,08,0.18
1944,09,-0.11
1944,10,0.28
1944,11,0.1
1944,12,0.28
1945,01,0.21
1945,02,-0.56
1945,03,-0.44
1945,04,0.26
1945,05,-0.28
1945,06,-0.33
1945,07,-0.03
1945,08,-0.05
1945,09,0.01
1945,10,-0.25
1945,11,0.18
1945,12,-0.01
1946,01,0.26
1946,02,-0.08
1946,03,0.04
1946,04,-0.05
1946,05,0.09
1946,06,-0.25
1946,07,-0.26
1946,08,-0.44
1946,09,-0.08
1946,10,-0.01
1946,11,0.37
1946,12,-0.11
1947,01,0.1
1947,02,0.94
1947,03,0.29
1947,04,0.06
1947,05,-0.1
1947,06,0.06
1947,07,-0.08
1947,08,0.04
1947,09,-0.16
1947,10,0.08
1947,11,0.21
1947,12,0.16
1948,01,-0.16
1948,02,0.13
1948,03,-0.79
1948,04,-0.34
1948,05,0.12
1948,06,-0.29
1948,07,-0.09
1948,08,-0.12
1948,09,-0.34
1948,10,-0.31
1948,11,-0.66
1948,12,-0.34
1949,01,0.08
1949,02,-0.87
1949,03,-0.09
1949,04,-0.28
1949,05,0.13
1949,06,0.21
1949,07,0.09
1949,08,-0.03
1949,09,-0.05
1949,10,0.02
